Comment,Designator,Footprint,LCSC
H1,M5Unit Screw Hole,unit_mounting_hole,,,0,0
J1,Conn_01x04,HY2.0-4P,,,0,0
R1,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,0,0
R2,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,0,0
R3,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,0,0
R4,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,0,0
R5,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,0,0
R6,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,0,0
U1,M5StampS3,M5StampS3,,,0,0
U2,LTP305G,LTP305G,,,0,0
